epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.5278,1.3891,1.95647,1.12079,0.75898,0.81273,0.82883,0.4725,1.31834,1.71132,1.09885,0.000552888,0.000552888,0.000552888
2,74.0177,1.32866,1.17942,1.09783,0.85426,0.87068,0.91541,0.5537,1.23691,1.05398,1.06572,0.00109758,0.00109758,0.00109758
3,108.688,1.30506,0.95993,1.08673,0.86486,0.85924,0.90935,0.55608,1.2139,0.95167,1.0607,0.00163127,0.00163127,0.00163127
4,143.236,1.26994,0.8658,1.07268,0.8679,0.8514,0.9163,0.57097,1.19761,0.79735,1.04224,0.00161749,0.00161749,0.00161749
5,177.983,1.2432,0.806,1.05828,0.8944,0.87879,0.94343,0.60139,1.16898,0.74155,1.02713,0.00160099,0.00160099,0.00160099
6,212.833,1.2129,0.76762,1.05038,0.90395,0.92995,0.96199,0.62661,1.14519,0.65993,1.01966,0.00158448,0.00158448,0.00158448
7,247.731,1.19881,0.74509,1.04722,0.89299,0.90777,0.95995,0.6322,1.13847,0.6766,1.02687,0.00156798,0.00156798,0.00156798
8,282.725,1.19972,0.73522,1.04516,0.90364,0.91094,0.95566,0.62716,1.13921,0.66237,1.0176,0.00155148,0.00155148,0.00155148
9,317.839,1.1844,0.71753,1.03504,0.90864,0.92241,0.96194,0.64574,1.12119,0.62792,1.012,0.00153497,0.00153497,0.00153497
10,352.965,1.17195,0.69361,1.02993,0.92477,0.90876,0.95595,0.6391,1.12396,0.63414,1.00765,0.00151847,0.00151847,0.00151847
11,388.134,1.15338,0.67522,1.02681,0.92502,0.92453,0.96433,0.64692,1.10789,0.61773,1.00801,0.00150197,0.00150197,0.00150197
12,423.66,1.14872,0.67277,1.02105,0.92494,0.92029,0.96433,0.65398,1.09705,0.61866,0.99838,0.00148546,0.00148546,0.00148546
13,459.09,1.15078,0.66734,1.01975,0.93579,0.93442,0.97432,0.65236,1.07954,0.59851,0.99352,0.00146896,0.00146896,0.00146896
14,494.654,1.14606,0.65797,1.02558,0.92278,0.94592,0.97016,0.65751,1.0765,0.59158,0.99628,0.00145246,0.00145246,0.00145246
15,530.268,1.12776,0.64666,1.01784,0.9368,0.94331,0.9731,0.66411,1.09084,0.5868,0.99042,0.00143595,0.00143595,0.00143595
16,565.935,1.13021,0.6386,1.01284,0.91695,0.94918,0.972,0.65652,1.07185,0.58203,0.9879,0.00141945,0.00141945,0.00141945
17,601.674,1.12119,0.63276,1.01419,0.94148,0.96156,0.97685,0.67068,1.05362,0.57302,0.98333,0.00140295,0.00140295,0.00140295
18,637.286,1.1143,0.62332,1.0083,0.93517,0.93306,0.96426,0.65436,1.06326,0.5988,0.98562,0.00138644,0.00138644,0.00138644
19,673.106,1.10387,0.63483,1.00813,0.93855,0.95329,0.97723,0.67459,1.04924,0.56562,0.9785,0.00136994,0.00136994,0.00136994
20,708.713,1.10474,0.6247,1.00238,0.9311,0.95111,0.9759,0.66951,1.06189,0.56746,0.98184,0.00135344,0.00135344,0.00135344
21,744.379,1.10216,0.61304,1.0075,0.94071,0.95309,0.97329,0.67479,1.0599,0.55004,0.98383,0.00133693,0.00133693,0.00133693
22,779.804,1.09196,0.60221,1.00027,0.94233,0.95765,0.97868,0.67949,1.04487,0.5443,0.9735,0.00132043,0.00132043,0.00132043
23,815.109,1.10128,0.60153,1.00564,0.94082,0.95713,0.97651,0.68196,1.03543,0.53845,0.97165,0.00130393,0.00130393,0.00130393
24,850.303,1.07696,0.58865,0.99645,0.94896,0.95647,0.97398,0.67966,1.02567,0.54361,0.97521,0.00128742,0.00128742,0.00128742
25,885.564,1.08774,0.60091,0.99427,0.93573,0.9585,0.97096,0.67323,1.04665,0.55324,0.97618,0.00127092,0.00127092,0.00127092
26,920.84,1.08134,0.59284,0.99272,0.9372,0.94721,0.97393,0.67843,1.06424,0.55137,0.98173,0.00125442,0.00125442,0.00125442
27,955.985,1.0783,0.59093,0.99638,0.93184,0.96187,0.97507,0.67542,1.04005,0.53906,0.98108,0.00123791,0.00123791,0.00123791
28,991.209,1.08365,0.59065,1.00463,0.94439,0.96574,0.9794,0.68545,1.03234,0.526,0.97659,0.00122141,0.00122141,0.00122141
29,1026.31,1.05294,0.57995,0.98375,0.93914,0.96479,0.97895,0.69085,1.02315,0.52657,0.96886,0.00120491,0.00120491,0.00120491
30,1061.51,1.06787,0.58336,0.99012,0.94731,0.96419,0.98113,0.68148,1.02609,0.52718,0.96455,0.0011884,0.0011884,0.0011884
31,1096.75,1.06907,0.57876,0.99223,0.9486,0.96221,0.97717,0.68306,1.03556,0.52449,0.96933,0.0011719,0.0011719,0.0011719
32,1131.91,1.0555,0.56134,0.98513,0.94138,0.96775,0.98038,0.69254,1.02423,0.51278,0.96893,0.0011554,0.0011554,0.0011554
33,1167.14,1.0598,0.56847,0.98363,0.9537,0.96091,0.97883,0.68866,1.00956,0.50996,0.97021,0.00113889,0.00113889,0.00113889
34,1202.35,1.05099,0.56476,0.98814,0.93743,0.97166,0.97651,0.68551,1.01615,0.53026,0.96577,0.00112239,0.00112239,0.00112239
35,1237.55,1.05898,0.57038,0.98759,0.94495,0.97513,0.98093,0.69374,1.02354,0.51063,0.97018,0.00110589,0.00110589,0.00110589
36,1272.77,1.04438,0.55494,0.97869,0.95034,0.96938,0.97984,0.69172,1.0213,0.50901,0.96875,0.00108938,0.00108938,0.00108938
37,1307.93,1.03804,0.55032,0.98214,0.94206,0.96612,0.97522,0.68963,1.01019,0.50939,0.96328,0.00107288,0.00107288,0.00107288
38,1343.09,1.03366,0.55539,0.97858,0.95239,0.96416,0.98148,0.69396,1.01926,0.50272,0.96529,0.00105638,0.00105638,0.00105638
39,1378.24,1.02699,0.54491,0.976,0.94264,0.97232,0.97628,0.687,1.01718,0.51452,0.96381,0.00103987,0.00103987,0.00103987
40,1413.31,1.03894,0.55548,0.97559,0.94235,0.96417,0.97889,0.69662,1.00141,0.51273,0.96562,0.00102337,0.00102337,0.00102337
41,1448.54,1.0382,0.54466,0.98218,0.94816,0.96592,0.97938,0.6915,1.00659,0.50261,0.96363,0.00100687,0.00100687,0.00100687
42,1483.76,1.03686,0.55401,0.97623,0.94289,0.97698,0.98148,0.69941,1.01128,0.50008,0.96208,0.000990365,0.000990365,0.000990365
43,1519.04,1.02964,0.54742,0.98101,0.95404,0.96492,0.9808,0.69439,1.00349,0.49222,0.96417,0.000973861,0.000973861,0.000973861
44,1554.32,1.03077,0.5479,0.97671,0.94583,0.96821,0.97823,0.69444,1.00659,0.49562,0.9639,0.000957358,0.000957358,0.000957358
45,1589.51,1.01217,0.53597,0.97237,0.96023,0.96395,0.98071,0.70287,0.99274,0.489,0.95966,0.000940855,0.000940855,0.000940855
46,1624.77,1.02686,0.54433,0.97764,0.9449,0.97329,0.98259,0.7051,0.99603,0.48726,0.96032,0.000924352,0.000924352,0.000924352
47,1660.04,1.02395,0.53854,0.97571,0.94174,0.96808,0.97784,0.6956,1.01058,0.4982,0.96286,0.000907848,0.000907848,0.000907848
48,1695.26,1.00662,0.52349,0.97026,0.94239,0.97216,0.98165,0.7002,1.00056,0.49552,0.95933,0.000891345,0.000891345,0.000891345
49,1730.5,1.01001,0.53055,0.96833,0.94676,0.96968,0.98142,0.70029,0.99512,0.4935,0.95556,0.000874842,0.000874842,0.000874842
50,1765.94,1.00759,0.524,0.96978,0.94062,0.98044,0.9818,0.70274,0.99313,0.4841,0.95756,0.000858338,0.000858338,0.000858338
51,1801.37,1.0108,0.52778,0.97018,0.95185,0.97329,0.9806,0.70052,0.99416,0.49211,0.96199,0.000841835,0.000841835,0.000841835
52,1836.86,1.0012,0.51718,0.96842,0.94876,0.98078,0.9815,0.70676,0.99278,0.47667,0.95813,0.000825332,0.000825332,0.000825332
53,1872.46,1.00585,0.52167,0.96773,0.95312,0.97871,0.98467,0.70705,0.98156,0.47392,0.95483,0.000808828,0.000808828,0.000808828
54,1908,1.00281,0.52279,0.96527,0.95787,0.96255,0.98309,0.70567,0.98979,0.48234,0.95727,0.000792325,0.000792325,0.000792325
55,1943.45,1.00497,0.51438,0.96803,0.9538,0.97607,0.9844,0.70641,0.9931,0.47562,0.95805,0.000775822,0.000775822,0.000775822
56,1978.93,0.99324,0.51779,0.96596,0.9497,0.97199,0.98054,0.7006,0.99039,0.48483,0.96094,0.000759318,0.000759318,0.000759318
57,2014.52,0.99908,0.5138,0.96414,0.95156,0.97889,0.9821,0.70828,0.9887,0.47306,0.95902,0.000742815,0.000742815,0.000742815
58,2050.14,0.98988,0.50948,0.96013,0.93834,0.97909,0.98155,0.70501,0.99203,0.48234,0.95677,0.000726312,0.000726312,0.000726312
59,2085.85,0.98857,0.51079,0.96274,0.95099,0.97306,0.98187,0.70252,0.98192,0.48092,0.95596,0.000709809,0.000709809,0.000709809
60,2121.45,0.98584,0.50746,0.95877,0.95426,0.97524,0.98158,0.70874,0.98264,0.47196,0.95325,0.000693305,0.000693305,0.000693305
61,2157.05,0.98596,0.50554,0.96175,0.9541,0.97915,0.98338,0.70707,0.98322,0.47065,0.95431,0.000676802,0.000676802,0.000676802
62,2192.63,0.98597,0.502,0.96163,0.95094,0.97531,0.97874,0.70567,0.98302,0.4719,0.95832,0.000660299,0.000660299,0.000660299
63,2228.17,0.97131,0.49509,0.95349,0.95774,0.97441,0.98417,0.71077,0.98713,0.46373,0.95444,0.000643795,0.000643795,0.000643795
64,2263.74,0.97775,0.49883,0.9556,0.95683,0.96919,0.98297,0.70625,0.98318,0.47117,0.95432,0.000627292,0.000627292,0.000627292
65,2299.17,0.97173,0.4926,0.95677,0.95189,0.97953,0.9838,0.7127,0.98277,0.46612,0.95415,0.000610789,0.000610789,0.000610789
66,2334.68,0.97813,0.50042,0.95298,0.95285,0.97467,0.98014,0.70933,0.97283,0.46876,0.95068,0.000594286,0.000594286,0.000594286
67,2370.08,0.96581,0.49108,0.94609,0.94812,0.97549,0.98313,0.7079,0.98871,0.46676,0.95569,0.000577782,0.000577782,0.000577782
68,2405.4,0.96878,0.49636,0.94955,0.95524,0.97774,0.98146,0.70523,0.9833,0.46514,0.95642,0.000561279,0.000561279,0.000561279
69,2440.91,0.96579,0.49722,0.9536,0.95535,0.9817,0.98404,0.71217,0.97537,0.45534,0.9508,0.000544776,0.000544776,0.000544776
70,2476.32,0.96007,0.48159,0.95388,0.95646,0.97223,0.98152,0.71165,0.97081,0.46045,0.95153,0.000528272,0.000528272,0.000528272
71,2511.74,0.96614,0.48475,0.95256,0.9522,0.9753,0.98014,0.71427,0.97962,0.46389,0.95277,0.000511769,0.000511769,0.000511769
72,2547.22,0.95095,0.48212,0.9475,0.95452,0.9785,0.98308,0.71212,0.98065,0.46272,0.95139,0.000495266,0.000495266,0.000495266
73,2582.68,0.95943,0.47667,0.95111,0.95172,0.98197,0.98204,0.71248,0.98227,0.45972,0.95441,0.000478762,0.000478762,0.000478762
74,2617.86,0.95246,0.47701,0.95167,0.95677,0.97133,0.98366,0.71355,0.98,0.45939,0.95529,0.000462259,0.000462259,0.000462259
75,2653.11,0.94275,0.47716,0.94767,0.95381,0.9816,0.98242,0.71086,0.98181,0.45986,0.95204,0.000445756,0.000445756,0.000445756
76,2688.58,0.94283,0.47486,0.94668,0.95031,0.97181,0.98285,0.71304,0.96868,0.45302,0.95357,0.000429253,0.000429253,0.000429253
77,2723.89,0.94031,0.47506,0.94838,0.95128,0.97472,0.98316,0.71339,0.97378,0.455,0.94996,0.000412749,0.000412749,0.000412749
78,2759.21,0.93173,0.46416,0.94012,0.95429,0.96677,0.98189,0.7136,0.97897,0.45969,0.95181,0.000396246,0.000396246,0.000396246
79,2794.06,0.9279,0.4656,0.94282,0.94897,0.9749,0.98056,0.71113,0.97644,0.45839,0.9533,0.000379743,0.000379743,0.000379743
80,2829.02,0.93076,0.46701,0.93691,0.94487,0.98261,0.98234,0.7161,0.9734,0.45317,0.95093,0.000363239,0.000363239,0.000363239
81,2863.94,0.94936,0.47369,0.94687,0.94922,0.97785,0.98222,0.7136,0.98361,0.45465,0.95284,0.000346736,0.000346736,0.000346736
82,2898.9,0.92598,0.46524,0.94336,0.95286,0.97654,0.981,0.71288,0.97309,0.45095,0.95048,0.000330233,0.000330233,0.000330233
83,2933.87,0.92834,0.4575,0.93885,0.95728,0.97344,0.98269,0.71603,0.97827,0.4535,0.95115,0.000313729,0.000313729,0.000313729
84,2968.84,0.93351,0.46625,0.94269,0.95408,0.9785,0.98387,0.71626,0.97442,0.45517,0.94874,0.000297226,0.000297226,0.000297226
85,3004.78,0.92119,0.45834,0.93539,0.94941,0.98084,0.98133,0.71199,0.98249,0.45571,0.95377,0.000280723,0.000280723,0.000280723
86,3040.36,0.92108,0.46012,0.93954,0.94997,0.98045,0.98328,0.71432,0.98343,0.45424,0.95233,0.00026422,0.00026422,0.00026422
87,3075.96,0.90585,0.45172,0.93578,0.95448,0.97721,0.98288,0.71294,0.9839,0.45339,0.9542,0.000247716,0.000247716,0.000247716
88,3111.56,0.91055,0.45375,0.93439,0.95507,0.97654,0.98141,0.71371,0.97996,0.45016,0.95297,0.000231213,0.000231213,0.000231213
89,3147.33,0.92303,0.45521,0.93633,0.94968,0.97851,0.98162,0.71199,0.9844,0.45347,0.95417,0.00021471,0.00021471,0.00021471
90,3182.63,0.90142,0.44558,0.93243,0.9571,0.97369,0.98103,0.71099,0.98151,0.45134,0.95638,0.000198206,0.000198206,0.000198206
91,3245.74,0.91317,0.42433,0.94227,0.94853,0.97673,0.98026,0.70564,0.98859,0.45649,0.95804,0.000181703,0.000181703,0.000181703
92,3280.17,0.90329,0.41704,0.94069,0.95423,0.97368,0.98002,0.70639,0.98801,0.45233,0.96013,0.0001652,0.0001652,0.0001652
93,3314.71,0.8957,0.41616,0.93628,0.95646,0.97135,0.98015,0.71093,0.98843,0.4542,0.956,0.000148696,0.000148696,0.000148696
94,3349.29,0.89243,0.41032,0.93978,0.95584,0.96808,0.97818,0.70781,0.98615,0.45385,0.95735,0.000132193,0.000132193,0.000132193
95,3384.35,0.88537,0.4054,0.93766,0.95077,0.97189,0.97931,0.70821,0.98867,0.45383,0.95898,0.00011569,0.00011569,0.00011569
96,3419.38,0.87937,0.40632,0.93354,0.94835,0.97526,0.97943,0.70935,0.99758,0.45521,0.95929,9.91865e-05,9.91865e-05,9.91865e-05
97,3454.48,0.88363,0.40515,0.93331,0.95564,0.97003,0.97826,0.7077,0.99586,0.45555,0.95877,8.26832e-05,8.26832e-05,8.26832e-05
98,3489.68,0.87658,0.40188,0.933,0.95583,0.97068,0.97946,0.70786,0.99309,0.45481,0.95873,6.61799e-05,6.61799e-05,6.61799e-05
99,3524.87,0.87384,0.40152,0.92665,0.95789,0.97047,0.98068,0.71062,0.98833,0.4534,0.95773,4.96766e-05,4.96766e-05,4.96766e-05
100,3560.07,0.87268,0.4029,0.92892,0.95664,0.96991,0.97906,0.70915,0.99049,0.45415,0.95774,3.31733e-05,3.31733e-05,3.31733e-05
